# -----------------------------------------
# Units explanation:
# -----------------------------------------
# time_step: Simulation time step
# phase_duration: Duration of current traffic light phase (seconds)
# remaining_duration: Time until next phase change (seconds)
# signal_states: Current state of all signals (g=green, y=yellow, r=red, G=priority green)
# total_queue_length: Number of stopped vehicles at intersection (vehicles)
# vehicles_stopped: Number of unique vehicles stopped at intersection (vehicles)
# average_waiting_time: Average time vehicles have been waiting (seconds)
# vehicles_by_type: Dictionary of vehicle counts by vehicle type
# lane_to_signal_mapping: Dictionary mapping lanes to their controlling signals
# -----------------------------------------

time_step,traffic_light_id,program,phase,phase_duration,remaining_duration,signal_states,total_queue_length,vehicles_stopped,average_waiting_time,vehicles_by_type,lane_to_signal_mapping
78,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,2.0999999999999996,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
79,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,2.0,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
80,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,1.9000000000000004,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
81,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,1.8000000000000007,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
82,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,1.6999999999999993,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
83,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,1.5999999999999996,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
84,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,1.5,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
85,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,1.4000000000000004,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
86,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,1.3000000000000007,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
87,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,1.1999999999999993,ggggggGGggrrrrrrrrGggGggrrrrrr,1,1,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
88,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,1.0999999999999996,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
89,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,1.0,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
90,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,0.9000000000000004,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
91,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,0.8000000000000007,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
92,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,0.6999999999999993,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
93,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,0.5999999999999996,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
94,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,0.5,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
95,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,0.40000000000000036,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
96,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,0.3000000000000007,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
97,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,0.1999999999999993,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
98,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,0.09999999999999964,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
99,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,0.0,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
100,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,2.9000000000000004,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
101,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,2.8000000000000007,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
102,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,2.6999999999999993,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
