# =========================================
# Summary of Simulation Results (Bicycle Trajectories)
# Generated on: 2025-08-31 16:14:04
# Step length: 0.1 seconds
# =========================================
#
# -----------------------------------------
# Units explanation:
# -----------------------------------------
# time_step: current simulation time step
# x_coord, y_coord: UTM coordinates in meters (EPSG:32632)
# speed: meters per second (m/s)
# angle: degrees (0-360, clockwise from north)
# acceleration: meters per second squared (m/s^2)
# lateral_speed: meters per  second (m/s)
# slope: road gradient in degrees
# distance: cumulative distance traveled in meters
# lane_position: ...
# is_detected: if bicycle is detected by any observer (0: no, 1: yes)
# detecting_observers: list of observer IDs that detected the bicycle
# in_test_area: if bicycle is in test area (0: no, 1: yes)
# next_tl_id: ID of the next traffic light on the route
# next_tl_distance: distance to the next traffic light in meters
# next_tl_state: current state of the relevant signal (r/y/g/G)
# next_tl_index: index of the relevant signal within the traffic light
# -----------------------------------------

time_step,vehicle_id,vehicle_type,x_coord,y_coord,speed,angle,acceleration,lateral_speed,slope,distance,route_id,lane_id,edge_id,lane_position,lane_index,is_detected,detecting_observers,in_test_area,next_tl_id,next_tl_distance,next_tl_state,next_tl_index
23,vehicle_1,DEFAULT_BIKETYPE,691060.1353146263,5336017.959547527,2.3173109534254954,21.353532898485593,0.9956421770621082,0.0,0.0,2.8730528941832567,!vehicle_1!var#1,51476080#4_1,51476080#4,4.573052894183257,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,108.11694710581673,g,20
24,vehicle_1,DEFAULT_BIKETYPE,691060.2236473626,5336018.185485305,2.425669413843444,21.353532898485593,1.083584604179486,0.0,0.0,3.1156198355676015,!vehicle_1!var#1,51476080#4_1,51476080#4,4.815619835567602,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,107.87438016443241,g,20
25,vehicle_1,DEFAULT_BIKETYPE,691060.3150081764,5336018.419168311,2.508822219736195,21.353532898485593,0.8315280589275087,0.0,0.0,3.3665020575412212,!vehicle_1!var#1,51476080#4_1,51476080#4,5.066502057541221,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,107.62349794245878,g,20
26,vehicle_1,DEFAULT_BIKETYPE,691060.4090353849,5336018.659671431,2.5820430061139827,21.353532898485593,0.7322078637778784,0.0,0.0,3.6247063581526193,!vehicle_1!var#1,51476080#4_1,51476080#4,5.3247063581526195,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,107.36529364184739,g,20
27,vehicle_1,DEFAULT_BIKETYPE,691060.5072680209,5336018.910931209,2.697526545693419,21.353532898485593,1.1548353957943647,0.0,0.0,3.8944590127219616,!vehicle_1!var#1,51476080#4_1,51476080#4,5.594459012721962,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,107.09554098727804,g,20
28,vehicle_1,DEFAULT_BIKETYPE,691060.6090814974,5336019.171350072,2.7958585459611114,21.353532898481802,0.9833200026769218,0.0,0.0,4.174044867318073,!vehicle_1!var#1,51476080#4_1,51476080#4,5.874044867318073,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,106.81595513268192,g,20
29,vehicle_1,DEFAULT_BIKETYPE,691060.715082631,5336019.44248014,2.9108540961810125,21.353532898481802,1.1499555021990115,0.0,0.0,4.465130276936174,!vehicle_1!var#1,51476080#4_1,51476080#4,6.165130276936174,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,106.52486972306383,g,20
30,vehicle_1,DEFAULT_BIKETYPE,691060.8238242604,5336019.720619855,2.986109746854074,21.353532898485593,0.752556506730615,0.0,0.0,4.763741251621581,!vehicle_1!var#1,51476080#4_1,51476080#4,6.463741251621581,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,106.22625874837843,g,20
31,vehicle_1,DEFAULT_BIKETYPE,691060.9354721741,5336020.0061932765,3.0659180333477183,21.353532898485593,0.7980828649364424,0.0,0.0,5.070333054956353,!vehicle_1!var#1,51476080#4_1,51476080#4,6.770333054956353,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,105.91966694504364,g,20
32,vehicle_1,DEFAULT_BIKETYPE,691061.050244119,5336020.299757357,3.151705788193524,21.353532898485593,0.857877548458057,0.0,0.0,5.385503633775706,!vehicle_1!var#1,51476080#4_1,51476080#4,7.085503633775706,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,105.6044963662243,g,20
