x_coord,y_coord,continuous_visibility_count
690996.9257130085,5336140.359748492,0.0
690996.9257130085,5336141.359748492,0.0
690996.9257130085,5336142.359748492,0.0
690996.9257130085,5336143.359748492,0.0
690996.9257130085,5336144.359748492,0.0
690996.9257130085,5336145.359748492,0.0
690996.9257130085,5336146.359748492,0.0
690996.9257130085,5336147.359748492,0.0
690996.9257130085,5336148.359748492,0.0
690996.9257130085,5336149.359748492,0.0
690996.9257130085,5336150.359748492,0.0
690996.9257130085,5336151.359748492,0.0
690996.9257130085,5336152.359748492,0.0
690996.9257130085,5336153.359748492,0.0
690996.9257130085,5336154.359748492,0.0
690996.9257130085,5336155.359748492,0.0
690996.9257130085,5336156.359748492,0.0
690996.9257130085,5336157.359748492,0.0
690996.9257130085,5336158.359748492,0.0
690996.9257130085,5336159.359748492,0.0
690996.9257130085,5336160.359748492,697.5800000000089
690996.9257130085,5336161.359748492,697.7900000000088
690996.9257130085,5336162.359748492,697.3700000000089
690996.9257130085,5336163.359748492,696.7400000000089
690996.9257130085,5336164.359748492,695.6200000000089
690996.9257130085,5336165.359748492,693.9500000000088
690996.9257130085,5336166.359748492,690.9400000000086
690996.9257130085,5336167.359748492,689.1200000000084
690996.9257130085,5336168.359748492,685.4100000000083
690996.9257130085,5336169.359748492,683.320000000008
690996.9257130085,5336170.359748492,667.4500000000069
690996.9257130085,5336171.359748492,659.8900000000059
690996.9257130085,5336172.359748492,654.3600000000055
690996.9257130085,5336173.359748492,643.9300000000046
690996.9257130085,5336174.359748492,604.3500000000023
690996.9257130085,5336175.359748492,601.3800000000019
690996.9257130085,5336176.359748492,614.200000000003
690996.9257130085,5336177.359748492,616.4500000000029
690996.9257130085,5336178.359748492,605.530000000002
690996.9257130085,5336179.359748492,551.6699999999978
690996.9257130085,5336180.359748492,374.7099999999964
690996.9257130085,5336181.359748492,273.699999999998
690996.9257130085,5336182.359748492,264.2499999999981
690996.9257130085,5336183.359748492,300.7899999999976
690996.9257130085,5336184.359748492,315.34999999999735
690996.9257130085,5336185.359748492,316.5399999999973
690996.9257130085,5336186.359748492,317.7999999999973
690996.9257130085,5336187.359748492,328.01999999999714
690996.9257130085,5336188.359748492,350.4199999999968
690996.9257130085,5336189.359748492,365.67999999999654
690996.9257130085,5336190.359748492,376.4599999999964
690996.9257130085,5336191.359748492,379.67999999999637
690996.9257130085,5336192.359748492,382.6899999999963
690996.9257130085,5336193.359748492,375.3399999999964
690996.9257130085,5336194.359748492,366.1699999999965
690996.9257130085,5336195.359748492,358.1199999999966
690996.9257130085,5336196.359748492,343.5599999999968
690996.9257130085,5336197.359748492,327.8099999999971
690996.9257130085,5336198.359748492,307.22999999999746
690996.9257130085,5336199.359748492,0.0
690996.9257130085,5336200.359748492,0.0
690996.9257130085,5336201.359748492,0.0
690996.9257130085,5336202.359748492,0.0
690996.9257130085,5336203.359748492,0.0
690996.9257130085,5336204.359748492,0.0
690996.9257130085,5336205.359748492,0.0
690996.9257130085,5336206.359748492,0.0
690996.9257130085,5336207.359748492,0.0
690996.9257130085,5336208.359748492,0.0
690996.9257130085,5336209.359748492,0.0
690996.9257130085,5336210.359748492,0.0
690996.9257130085,5336211.359748492,0.0
690996.9257130085,5336212.359748492,0.0
690996.9257130085,5336213.359748492,0.0
690996.9257130085,5336214.359748492,0.0
690996.9257130085,5336215.359748492,0.0
690996.9257130085,5336216.359748492,0.0
690996.9257130085,5336217.359748492,0.0
690996.9257130085,5336218.359748492,0.0
690996.9257130085,5336219.359748492,0.0
690996.9257130085,5336220.359748492,0.0
690996.9257130085,5336221.359748492,0.0
690996.9257130085,5336222.359748492,0.0
690996.9257130085,5336223.359748492,0.0
690996.9257130085,5336224.359748492,0.0
690997.9257130085,5336056.359748492,0.0
690997.9257130085,5336057.359748492,0.0
690997.9257130085,5336058.359748492,0.0
690997.9257130085,5336059.359748492,0.0
690997.9257130085,5336060.359748492,0.0
690997.9257130085,5336061.359748492,0.0
690997.9257130085,5336062.359748492,0.0
690997.9257130085,5336063.359748492,0.0
690997.9257130085,5336064.359748492,0.0
690997.9257130085,5336065.359748492,0.0
690997.9257130085,5336066.359748492,0.0
690997.9257130085,5336067.359748492,0.0
690997.9257130085,5336068.359748492,0.0
690997.9257130085,5336069.359748492,0.0
690997.9257130085,5336070.359748492,0.0
690997.9257130085,5336071.359748492,0.0
690997.9257130085,5336072.359748492,0.0
690997.9257130085,5336073.359748492,0.0
690997.9257130085,5336074.359748492,0.0
690997.9257130085,5336075.359748492,0.0
690997.9257130085,5336076.359748492,0.0
690997.9257130085,5336077.359748492,0.0
690997.9257130085,5336078.359748492,0.0
690997.9257130085,5336079.359748492,0.0
690997.9257130085,5336080.359748492,0.0
690997.9257130085,5336081.359748492,0.0
690997.9257130085,5336082.359748492,0.0
690997.9257130085,5336083.359748492,0.0
690997.9257130085,5336084.359748492,0.0
690997.9257130085,5336085.359748492,0.0
690997.9257130085,5336086.359748492,0.0
690997.9257130085,5336087.359748492,0.0
690997.9257130085,5336088.359748492,0.0
690997.9257130085,5336089.359748492,0.0
690997.9257130085,5336090.359748492,0.0
